name,type,ani_name,int_param1,int_param2,int_param3,int_param4,int_param5,int_param6
attack_target,normal,attack_target,6,120,100,0,0,0
addresfont,flyingfont,scene_numadd,1200,100,0,0,0,0
win,normal,win_,7,120,100,0,0,0
warfont,flyingfont2,,2000,150,0,0,0,0
deadeffect,flash,deadeffect,1,120,200,2000,0,0
building101_atk,normal,building101_atk,4,120,200,0,0,0
building102_atk,normal,building102_atk,3,120,200,0,0,0
building104_atk,normal,building104_atk,7,120,200,0,0,0
building106_atk,normal,building106_atk,4,120,200,0,0,0
building108_atk,normal,building108_atk,4,120,200,0,0,0
building101_bullet,normal,building101_bullet,0,0,0,0,0,0
building101_hit,normal,building101_hit,5,120,100,0,0,0
building102_bullet,normal,building102_bullet,1,0,0,0,0,0
building102_hit,normal,building102_hit,5,120,100,0,0,0
building104_bullet,normal,building104_bullet,0,0,0,0,0,0
building104_hit,normal,building104_hit,14,120,100,0,0,0
building106_bullet,normal,building106_bullet,0,0,0,0,0,0
building106_hit,normal,building106_hit,6,120,200,0,0,0
building108_bullet,normal,building108_bullet,1,0,0,0,0,0
building108_hit,normal,building108_hit,6,120,100,0,0,0
building501_atk,normal,building501_atk,4,0,0,0,0,0
building501_hit,normal,building501_hit,5,120,100,0,0,0
building502_atk,normal,building502_atk,7,0,0,0,0,0
building502_hit,normal,building502_hit,4,120,100,0,0,0
building503_atk,normal,building503_atk,12,0,0,0,0,0
building503_bullet,normal,building503_bullet,4,0,0,0,0,0
building503_hit,normal,building503_hit,10,120,100,0,0,0
building504_atk,normal,building504_atk,18,0,0,0,0,0
building504_hit,normal,building504_hit,5,120,100,0,0,0
person101_bullet,normal,person101_bullet,1,120,100,0,0,0
person101_hit,normal,person101_hit,1,120,100,0,0,0
person102_bullet,normal,person102_bullet,1,120,100,0,0,0
person102_hit,normal,person102_hit,1,120,100,0,0,0
person103_bullet,normal,person103_bullet,1,120,100,0,0,0
person103_hit,normal,person103_hit,1,120,100,0,0,0
person104_bullet,normal,person104_bullet,1,120,100,0,0,0
person104_hit,normal,person104_hit,12,120,100,0,0,0
person105_bullet,normal,person105_bullet,1,120,100,0,0,0
person105_hit,normal,person105_hit,7,120,100,0,0,0
person106_bullet,normal,person106_bullet,4,120,100,0,0,0
person106_hit,normal,person106_hit,14,120,100,0,0,0
person107_bullet,normal,person107_bullet,1,120,100,0,0,0
person107_hit,normal,person107_hit,3,120,100,0,0,0
person108_bullet,normal,person108_bullet,1,120,100,0,0,0
person108_hit,normal,person108_hit,10,120,100,0,0,0
person109_bullet,normal,person109_bullet,2,120,100,0,0,0
person109_hit,normal,person109_hit,5,120,100,0,0,0
person110_bullet,normal,person110_bullet,1,120,100,0,0,0
person110_hit,normal,person110_hit,9,120,100,0,0,0
person301_bullet,normal,person301_bullet,1,120,100,0,0,0
person301_hit,normal,person301_hit,3,120,100,0,0,0
building_bomb,normal,effect201,10,120,100,0,0,0
building_levelup,normal,effect202,7,120,100,0,0,0
talent01,flash,talent01,1,120,200,1000,0,0
talent02,flash,talent02,1,120,200,1000,0,0
talent03,flash,talent03,1,120,200,1000,0,0
talent04,flash,talent04,1,120,200,1000,0,0
talent05,flash,talent05,1,120,200,1000,0,0
talent06,flash,talent06,1,120,200,1000,0,0
talent07,flash,talent07,1,120,200,1000,0,0
talent08,flash,talent08,1,120,200,1000,0,0
talent09,flash,talent09,1,120,200,1000,0,0
skill01_attack,normal,skill01_attack,9,120,200,0,0,0
skill01_hit,normal,skill01_hit,9,120,200,0,0,0
skill02_attack,normal,skill02_attack,10,120,200,0,0,0
skill02_hit,normal,skill02_hit,10,120,200,0,0,0
skill03_attack,normal,skill03_attack,10,120,200,0,0,0
skill03_hit,normal,skill03_hit,10,120,200,0,0,0
skill04_attack,normal,skill04_attack,12,120,200,0,0,0
skill04_hit,normal,skill04_hit,10,120,200,0,0,0
skill05_attack,normal,skill05_attack,10,120,400,0,0,0
skill05_hit,normal,skill05_hit,10,120,200,0,0,0
skill06_attack,normal,skill06_attack,10,120,200,0,0,0
skill06_hit,normal,skill06_hit,10,120,200,0,0,0
skill07_attack,normal,skill07_attack,10,120,200,0,0,0
skill07_hit,normal,skill07_hit,6,120,200,0,0,0
skill08_attack,normal,skill08_attack,8,120,200,0,0,0
skill08_hit,normal,skill08_hit,6,120,200,0,0,0
